text,label,source
"URGENT! Your Mobile No was awarded a Â£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",1,sms_legacy
CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES,0,sms_legacy
"Dear customer, we detected unusual activity on your account. To verify access, please validate your information. Your account may be temporarily on hold until you recover it.

Keywords: suspended temporary hold

Compliance Team,
Sam Martinez",1,phishing
In the end she might still vomit but its okay. Not everything will come out.,0,sms
"Subject: Office maintenance

Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Avery Lee",0,phishing
"Trust me. Even if isn't there, its there.",0,sms
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",0,sms
"K, wait chikku..il send aftr  &lt;#&gt; mins",0,sms_legacy
"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",0,sms_legacy
"Hello, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: update, classified, confidential, tell friends, attachment, go to

Security Team,
Avery Garcia",1,phishing
"Subject: Weekly status report

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Let me know if the timing works for you.

Best,
Taylor Nguyen",0,phishing
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",1,sms
I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!,0,sms
"Attention, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: download, do not forward, alert, share, do not reply

Compliance Team,
Jamie Khan",1,phishing
No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,0,sms
"Hi there, your account has been suspended. Use the secure link to verify your username and restore access. Enter your 2FA code to continue.

Keywords: login username reset recovery key

Security Team,
Cameron Kim",1,phishing
"Subject: Documentation review

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Let me know if the timing works for you.

Best,
Casey Garcia",0,phishing
"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",0,sms
"Hi there, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: expires midnight, today only, act fast, last chance, instantly, don't wait

Sincerely,
Taylor Wong",1,phishing
Teach me apps da. When you come to college.,0,sms_legacy
"Hi there, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: do not share, warning, tell friends, do not forward, no-reply, click now

Account Services,
Riley Patel",1,phishing
That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,0,sms
"Subject: Schedule confirmation

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Let me know if the timing works for you.

Best,
Casey Singh",0,phishing
"Hello, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

Keywords: extend stay, emergency loan, but, charity gala

Compliance Team,
Taylor Singh",1,phishing
"Dear user, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: tech support, update, technical support, repair, help desk

Regards,
Casey Khan",1,phishing
"Hi there, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: customer service, trojan, support team, help desk, bug

Support Desk,
Alex Kim",1,phishing
"Subject: Invoice confirmation

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Thanks for reviewing the document.

Best,
Casey Wong",0,phishing
Not getting anywhere with this damn job hunting over here!,0,sms
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,1,sms
I'm serious. You are in the money base,0,sms
"Subject: Office maintenance

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Appreciate your feedback on this draft.

Best,
Morgan Patel",0,phishing
"Subject: Office maintenance

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Feel free to add notes before we meet.

Best,
Jamie Khan",0,phishing
"Subject: Onboarding checklist

Hi team, sharing notes from today's sync. Next steps are in the shared doc. Let me know your thoughts.

Thanks for reviewing the document.

Best,
Casey Wong",0,phishing
Hey you can pay. With salary de. Only  &lt;#&gt; .,0,sms_legacy
"Hi there, congratulations! You are the selected recipient of a prize. To claim your payment of $10,000, please provide your routing number to process the amount. This deal is limited time.

Keywords: inheritance profit

Sincerely,
Morgan Martinez",1,phishing
"Subject: Documentation review

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Thanks for reviewing the document.

Best,
Riley Nguyen",0,phishing
Nope... Juz off from work...,0,sms_legacy
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,1,sms_legacy
"Subject: Training session notes

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

I'll share the slides later today.

Best,
Riley Garcia",0,phishing
"Subject: Code review summary

Hi team, sharing the latest notes from today's sync. Next steps are attached in the document. Let me know your thoughts.

Let me know if the timing works for you.

Best,
Jordan Khan",0,phishing
"Hi there, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: military, traveler, single

Security Team,
Avery Brown",1,phishing
"Hello, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

Keywords: medical conference, transfer back, emergency loan, understand these, financial request

Account Services,
Cameron Brown",1,phishing
"Subject: Schedule confirmation

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Appreciate your feedback on this draft.

Best,
Sam Lee",0,phishing
"Subject: Project update

Hi team, sharing notes from today's sync. Next steps are in the shared doc. Let me know your thoughts.

I'll share the slides later today.

Best,
Cameron Patel",0,phishing
"Subject: Classroom logistics

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Thanks for reviewing the document.

Best,
Jordan Kim",0,phishing
"Hi there, congratulations! You are the selected recipient of a refund. To collect your gift of £2,500, please provide your credit card to process the amount. This deal is available today only.

Keywords: euros fee contest medical treatment wire

Regards,
Sam Nguyen",1,phishing
"Attention, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: error, technical support, scan, infection, help desk

Compliance Team,
Sam Brown",1,phishing
"Dear customer, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: last chance, while supplies last, expires midnight, today only, final notice

IT Desk,
Casey Garcia",1,phishing
But i'll b going 2 sch on mon. My sis need 2 take smth.,0,sms
"Notice, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: redirect, delete after reading, link, click here, visit

IT Desk,
Jamie Garcia",1,phishing
FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,1,sms
I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,0,sms_legacy
"Hello, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: account, two factor, update password, change password, authentication, backup codes

Compliance Team,
Riley Wong",1,phishing
I am on the way to ur home,0,sms_legacy
You have WON a guaranteed Â£1000 cash or a Â£2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,1,sms_legacy
"Subject: Onboarding checklist

Good morning, the updated agenda for next week is included below. Please check your tasks and add comments.

Let me know if the timing works for you.

Best,
Taylor Nguyen",0,phishing
Forgot to tell Ì_ smth.. Can Ì_ like number the sections so that it's clearer..,0,sms
"Account holder, your login has been locked. Use the secure link to verify your username and restore access. Enter your verification code to continue.

Keywords: signin forgot password

IT Desk,
Avery Martinez",1,phishing
"Subject: Networking event details

Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Thanks for reviewing the document.

Best,
Avery Nguyen",0,phishing
Ha ha - had popped down to the loo when you hello-ed me. Hello!,0,sms_legacy
Then she dun believe wat?,0,sms
"Notice, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: warning, private, do not reply, notification

Security Team,
Casey Wong",1,phishing
"Subject: Networking event details

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Thanks for reviewing the document.

Best,
Alex Singh",0,phishing
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",1,sms
"Attention, this is the irs compliance team. There are policy violations on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a suspension.

Keywords: apple ceo norton

Account Services,
Riley Kim",1,phishing
"Notice, we detected a security alert on your account. To authenticate access, please validate your information. Your account may be locked until you reactivate it.

Keywords: validate temporary hold suspended identity theft

Security Team,
Riley Brown",1,phishing
I want  &lt;#&gt;  rs da:)do you have it?,0,sms
"Subject: Networking event details

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Thanks for reviewing the document.

Best,
Sam Wong",0,phishing
"Dear customer, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: passcode, signin, change password, update password, verification code

Regards,
Sam Kim",1,phishing
"Attention, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: act fast, expires today, deadline

Support Desk,
Avery Patel",1,phishing
"Coffee cake, i guess...",0,sms
"Subject: Onboarding checklist

Sharing the revised documentation with examples. The new endpoints are described in section two.

Feel free to add notes before we meet.

Best,
Casey Kim",0,phishing
"Subject: Team lunch planning

Sharing the revised documentation with examples. The endpoints are described in section two.

Feel free to add notes before we meet.

Best,
Cameron Kim",0,phishing
"Subject: Budget planning

Hi team, sharing notes from today's sync. Next steps are in the shared doc. Let me know your thoughts.

Let me know if the timing works for you.

Best,
Taylor Martinez",0,phishing
How much she payed. Suganya.,0,sms
"Dear customer, final warning. Failure to respond will block your account. Immediate action is required to avoid fine. Your case will be referred to court if unresolved.

Keywords: restrict terminate delete

Risk Operations,
Taylor Khan",1,phishing
Excellent! Are you ready to moan and scream in ecstasy?,0,sms_legacy
Saw Guys and Dolls last night with Patrick Swayze it was great,0,sms
"Awesome, be there in a minute",0,sms
Eh den sat u book e kb liao huh...,0,sms_legacy
"Notice, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: help desk, virus, system administrator, network admin, network, connection

IT Desk,
Jordan Kim",1,phishing
"Subject: Training session notes

Thanks for attending the workshop. Here are links to references and the slide deck.

Let me know if the timing works for you.

Best,
Morgan Brown",0,phishing
"Hello, congratulations! You are the winner of a refund. To redeem your gift of €5,000, please provide your credit card to process the amount. This deal is available today only.

Keywords: million gift

Security Team,
Alex Nguyen",1,phishing
Okie but i scared u say i fat... Then u dun wan me already...,0,sms
"Hello, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: virus, troubleshoot, customer service, maintenance, scan, update

Security Team,
Alex Lee",1,phishing
"Account holder, this is an expires notice regarding your account. Your access will be limited soon. To avoid interruption, complete the form now. This offer is last chance and expires midnight. Follow the instructions now.

Keywords: expires limited time time sensitive while supplies last

Account Services,
Cameron Patel",1,phishing
Hi.:)technical support.providing assistance to us customer through call and email:),0,sms
Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself. ,0,sms_legacy
Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,0,sms_legacy
"Hi there, we detected a login attempt on your account. To verify access, please confirm your information. Your account may be temporarily on hold until you reactivate it.

Keywords: fraud alert suspended blocked violation login attempt

Account Services,
Alex Nguyen",1,phishing
"Attention, this is the legal accounts team. There are policy violations on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a suspension.

Keywords: amazon homeland security adobe

IT Desk,
Taylor Singh",1,phishing
"Hello, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: act fast, last chance, immediate, expire, expires midnight, limited offer

IT Desk,
Casey Singh",1,phishing
"Subject: Office maintenance

Hi team, sharing the latest notes from today's sync. Next steps are attached in the document. Let me know your thoughts.

Thanks for reviewing the document.

Best,
Jordan Garcia",0,phishing
ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,1,sms
"Alright omw, gotta change my order to a half8th",0,sms_legacy
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: lonely, replacement cards, romance

Security Team,
Morgan Wong",1,phishing
"Dear user, we detected a security alert on your account. To restore access, please validate your information. Your account may be locked until you recover it.

Keywords: confirm malware detected update

Support Desk,
Jordan Martinez",1,phishing
U know we watchin at lido?,0,sms
"I've got ten bucks, jay is being noncomittal",0,sms_legacy
K:)k:)what are detail you want to transfer?acc no enough?,0,sms
"Notice, we detected unusual activity on your account. To restore access, please confirm your information. Your account may be temporarily on hold until you recover it.

Keywords: restricted confirm

Compliance Team,
Cameron Martinez",1,phishing
"Dear user, this is an don't wait notice regarding your account. Your access will expire soon. To avoid interruption, complete the form now. This offer is last chance and ends soon. Follow the instructions now.

Keywords: hurry final notice

Compliance Team,
Riley Kim",1,phishing
"Dear user, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

Keywords: hotel asking, personal story, ran into, children's hospital, but, remembered you mentioning

IT Desk,
Casey Khan",1,phishing
"Notice, final warning. Failure to respond will freeze your account. Immediate action is required to avoid legal action. Your case will be referred to prosecution if unresolved.

Keywords: close confiscate limit freeze

Security Team,
Alex Wong",1,phishing
"Subject: Classroom logistics

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Thanks for reviewing the document.

Best,
Jordan Singh",0,phishing
"Hi there, congratulations! You are the selected recipient of a refund. To collect your payment of $10,000, please provide your routing number to process the total. This deal is limited time.

Keywords: debt million thousand refund

Support Desk,
Casey Patel",1,phishing
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: medical conference, military, businessman

IT Desk,
Alex Singh",1,phishing
You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,1,sms
"Dear user, final warning. Failure to respond will restrict your account. Immediate action is required to avoid penalty. Your case will be referred to court if unresolved.

Keywords: remove legal action court cancel terminate

Account Services,
Taylor Nguyen",1,phishing
Takin a shower now but yeah I'll leave when I'm done,0,sms_legacy
"Hello, we detected unusual activity on your account. To verify access, please update your information. Your account may be locked until you reactivate it.

Keywords: fraud alert frozen

Account Services,
Jordan Kim",1,phishing
Yeah I'll try to scrounge something up,0,sms_legacy
"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",0,sms
"Sorry,  in meeting I'll call you later",0,sms
Tmr then Ã¼ brin lar... Aiya later i come n c lar... Mayb Ã¼ neva set properly Ã¼ got da help sheet wif Ã¼...,0,sms_legacy
"Subject: Meeting follow-up

Please find the minutes from our last meeting. Action items are listed at the end for convenience.

I'll share the slides later today.

Best,
Jordan Wong",0,phishing
U calling me right? Call my hand phone...,0,sms_legacy
"Dear user, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: deadline, time sensitive, 24 hours, now

Security Team,
Jordan Lee",1,phishing
I'll probably be by tomorrow (or even later tonight if something's going on),0,sms
"Notice, this is an ends soon notice regarding your account. Your access will expire within 24 hours. To avoid interruption, respond asap. This offer is last chance and ends soon. Follow the instructions immediately.

Keywords: ends soon while supplies last instantly time sensitive expires

Security Team,
Casey Patel",1,phishing
I love to wine and dine my lady!,0,sms
Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,0,sms_legacy
"Subject: Invoice confirmation

Thanks for attending the workshop. Here are the links to references and the slide deck.

I'll share the slides later today.

Best,
Taylor Singh",0,phishing
Do Ì_ noe if ben is going?,0,sms
"Hi there, this is an time sensitive notice regarding your account. Your access will be limited within 24 hours. To avoid interruption, act now. This offer is last chance and expires midnight. Follow the instructions immediately.

Keywords: expire 48 hours expires soon

Regards,
Riley Singh",1,phishing
"Dear customer, we detected a login attempt on your account. To verify access, please confirm your information. Your account may be temporarily on hold until you reactivate it.

Keywords: fraud alert unauthorized

Compliance Team,
Casey Kim",1,phishing
"Hi there, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: pin, login, recover account, 2fa, signin, reset

IT Desk,
Taylor Kim",1,phishing
R we going with the  &lt;#&gt;  bus?,0,sms
"Attention, your login has been suspended. Use the secure link to verify your username and restore access. Enter your verification code to continue.

Keywords: login security settings update password

Regards,
Cameron Patel",1,phishing
No:-)i got rumour that you going to buy apartment in chennai:-),0,sms
tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,1,sms
"Subject: Workshop recap

Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Feel free to add notes before we meet.

Best,
Jamie Brown",0,phishing
Are u awake? Is there snow there?,0,sms
"Subject: Schedule confirmation

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Thanks for reviewing the document.

Best,
Cameron Martinez",0,phishing
"Dear user, this is an act now notice regarding your account. Your access will be limited within 24 hours. To avoid interruption, complete the form now. This offer is last chance and ends soon. Follow the instructions immediately.

Keywords: asap rush expire hurry now

Support Desk,
Sam Garcia",1,phishing
ALSO TELL HIM I SAID HAPPY BIRTHDAY,0,sms
"Subject: Budget planning

Hello, confirming our meeting on Thursday at 2 PM in the conference room. Please bring the draft slides for review.

Let me know if the timing works for you.

Best,
Morgan Patel",0,phishing
"Excellent, I'll see what riley's plans are",0,sms_legacy
Give one miss from that number please,0,sms_legacy
"Dear customer, congratulations! You are the winner of a reward. To collect your payment of $1,200, please provide your routing number to process the amount. This deal is limited time.

Keywords: ssn profit bitcoin 10000

Account Services,
Casey Singh",1,phishing
"Dear customer, we detected a login attempt on your account. To restore access, please validate your information. Your account may be locked until you recover it.

Keywords: fraud alert violation reactivate access denied

Security Team,
Casey Patel",1,phishing
Much better now thanks lol,0,sms
"Hello, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: traveling, widower, marry, sincere, temporary loan

Regards,
Alex Lee",1,phishing
"It could work, we'll reach a consensus at the next meeting",0,sms
You unbelievable faglord,0,sms_legacy
"Attention, we detected a login attempt on your account. To restore access, please confirm your information. Your account may be temporarily on hold until you reactivate it.

Keywords: unusual activity access denied locked

IT Desk,
Jordan Brown",1,phishing
"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",0,sms_legacy
Omg how did u know what I ate?,0,sms
"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",1,sms
"Dear customer, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: now, limited time, expire, don't wait, immediate, last chance

Sincerely,
Riley Brown",1,phishing
"Subject: Lab availability

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Appreciate your feedback on this draft.

Best,
Sam Nguyen",0,phishing
"Hello, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: share, download, system generated, notification

Sincerely,
Jordan Wong",1,phishing
"Hello, congratulations! You are the winner of a refund. To redeem your payment of £2,500, please provide your credit card to process the sum. This offer is available today only.

Keywords: save amount

Security Team,
Morgan Lee",1,phishing
"Subject: Performance feedback

Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Let me know if the timing works for you.

Best,
Jordan Singh",0,phishing
Somebody should go to andros and steal ice,0,sms_legacy
"Attention, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: virus, server, database, network admin

Compliance Team,
Casey Khan",1,phishing
"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",0,sms_legacy
"Account holder, this is the attorney security team. There are policy violations on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a restriction.

Keywords: immigration human resources chase government

Regards,
Cameron Patel",1,phishing
"Hello, congratulations! You are the selected recipient of a prize. To redeem your gift of £2,500, please provide your routing number to process the sum. This deal is limited time.

Keywords: wire amount contest

Account Services,
Casey Lee",1,phishing
Uhhhhrmm isnt having tb test bad when youre sick,0,sms_legacy
Hello madam how are you ?,0,sms
Why you keeping me away like this,0,sms_legacy
Well i will watch shrek in 3D!!B),0,sms
"Subject: Project update

Hi team, sharing notes from today's sync. Next steps are in the shared doc. Let me know your thoughts.

Thanks for reviewing the document.

Best,
Jamie Lee",0,phishing
Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,0,sms_legacy
"Subject: Welcome aboard

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Appreciate your feedback on this draft.

Best,
Taylor Martinez",0,phishing
"Attention, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: sensitive, warning, visit, do not reply, go to

Support Desk,
Taylor Patel",1,phishing
"Are you sure you don't mean ""get here, we made you hold all the weed""",0,sms_legacy
"Dear user, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: extend stay, marriage, romance, contract, dublin, emergency

Support Desk,
Cameron Khan",1,phishing
"Subject: Lab availability

Sharing the revised documentation with examples. The new endpoints are described in section two.

I'll share the slides later today.

Best,
Avery Brown",0,phishing
I dont know exactly could you ask chechi.,0,sms
And he's apparently bffs with carly quick now,0,sms
I donno if they are scorable,0,sms
How r Ì_ going to send it to me?,0,sms
"Hello, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: marriage, money needed, military, romance

Account Services,
Riley Wong",1,phishing
Dont you have message offer,0,sms_legacy
"Subject: Onboarding checklist

Please find the minutes from our last meeting. Action items are listed at the end of the note for convenience.

Let me know if the timing works for you.

Best,
Avery Martinez",0,phishing
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: doctor, money needed, relationship, deployed, marriage, transfer back

Compliance Team,
Casey Singh",1,phishing
I just really need shit before tomorrow and I know you won't be awake before like 6,0,sms_legacy
Mm have some kanji dont eat anything heavy ok,0,sms_legacy
